מספר מונה,תאריך התחלת הקריאה,"צריכה מהרשת (קוט""ש)","הזרמה לרשת (קוט""ש)"
12345654321,2024-08-01T00:00:00,1.43,0
12345654321,2024-08-01T00:14:59.999000,0.644,0
12345654321,2024-08-01T00:30:00,1.375,0
12345654321,2024-08-01T00:45:00,0.679,0
12345654321,2024-08-01T01:00:00,1.278,0
12345654321,2024-08-01T01:15:00,0.636,0
12345654321,2024-08-01T01:30:00,1.032,0
12345654321,2024-08-01T01:44:59.999000,0.507,0
12345654321,2024-08-01T02:00:00,1.266,0
12345654321,2024-08-01T02:15:00,0.529,0
12345654321,2024-08-01T02:29:59.999000,1.287,0
12345654321,2024-08-01T02:45:00,0.626,0
12345654321,2024-08-01T03:00:00,1.277,0
12345654321,2024-08-01T03:14:59.999000,0.606,0
12345654321,2024-08-01T03:30:00,1.255,0
12345654321,2024-08-01T03:45:00,0.755,0
12345654321,2024-08-01T03:59:59.999000,1.026,0
12345654321,2024-08-01T04:15:00,0.568,0
12345654321,2024-08-01T04:30:00,0.612,0
12345654321,2024-08-01T04:30:00,1.18,0
12345654321,2024-08-01T04:44:59.999000,0.568,0
12345654321,2024-08-01T05:00:00,0.663,0
12345654321,2024-08-01T05:00:00,1.218,0
12345654321,2024-08-01T05:15:00,0.555,0
12345654321,2024-08-01T05:29:59.999000,0.471,0
12345654321,2024-08-01T05:29:59.999000,1.375,0
12345654321,2024-08-01T05:45:00,0.904,0
12345654321,2024-08-01T06:00:00,0.555,0
12345654321,2024-08-01T06:00:00,1.068,0
12345654321,2024-08-01T06:14:59.999000,0.513,0
12345654321,2024-08-01T06:30:00,0.529,0
12345654321,2024-08-01T06:30:00,0.91,0
12345654321,2024-08-01T06:45:00,0.381,0
12345654321,2024-08-01T06:59:59.999000,0.367,0
12345654321,2024-08-01T06:59:59.999000,0.85,0
12345654321,2024-08-01T07:15:00,0.483,0
12345654321,2024-08-01T07:30:00,0.451,0
12345654321,2024-08-01T07:30:00,1.086,0
12345654321,2024-08-01T07:44:59.999000,0.635,0
12345654321,2024-08-01T08:00:00,0.48,0
12345654321,2024-08-01T08:00:00,0.622,0.013
12345654321,2024-08-01T08:15:00,0.142,0.013
12345654321,2024-08-01T08:29:59.999000,0.048,0.013
12345654321,2024-08-01T08:29:59.999000,0.048,0.131
12345654321,2024-08-01T08:45:00,0,0.118
12345654321,2024-08-01T09:00:00,0.031,0.16
12345654321,2024-08-01T09:00:00,0.041,0.39
12345654321,2024-08-01T09:14:59.999000,0.01,0.23
12345654321,2024-08-01T09:30:00,0.003,0.47
12345654321,2024-08-01T09:30:00,0.033,1.099
12345654321,2024-08-01T09:45:00,0.03,0.629
12345654321,2024-08-01T09:59:59.999000,0,0.803
12345654321,2024-08-01T09:59:59.999000,0.114,1.599
12345654321,2024-08-01T10:15:00,0.114,0.796
12345654321,2024-08-01T10:30:00,0,0.983
12345654321,2024-08-01T10:30:00,0,2.106
12345654321,2024-08-01T10:44:59.999000,0,1.123
12345654321,2024-08-01T11:00:00,0,1.191
12345654321,2024-08-01T11:00:00,0,2.422
12345654321,2024-08-01T11:15:00,0,1.231
12345654321,2024-08-01T11:29:59.999000,0,1.404
